strategy,metric,n_pairs,original_mean,original_median,original_sd,corrected_mean,corrected_median,corrected_sd,mean_difference,median_difference,hodges_lehmann_difference,n_improved,n_worsened,n_unchanged,normality_p,test,statistic,p_value,effect_size_name,effect_size,ci_statistic,ci_low,ci_high,ci_level,stratum_column,stratum,family,quantile_cuts,stratification_rule,stratification_type,p_adjusted_bh,significant_fdr,fdr_family,fdr_family_size,fdr_alpha,original_pass,corrected_pass,original_rate,corrected_rate,discordant_gained,discordant_lost,odds_ratio
s1_absolute_volume__mm3_5,HD95 (mm),60,7.839011762261356,6.198222084995086,5.564886304586196,7.958343497793875,6.319081628803204,5.555898093375771,0.11933173553251761,0.0,0.002938605954740936,26.0,23.0,11.0,8.937404447843396e-11,wilcoxon_signed_rank,541.0,0.47694075091631205,rank_biserial,0.11673469387755102,median_of_differences,-0.02767599998469361,0.002938605954740936,0.95,stratum_quantile,q2_middle,s1_absolute_volume__mm3_5|stratum_quantile|HD95 (mm),"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,0.715411126374468,False,s1_absolute_volume__mm3_5|stratum_quantile|HD95 (mm),3,0.05,,,,,,,
s1_absolute_volume__mm3_5,HD95 (mm),76,10.162915959447183,7.776027840822456,8.275651855588686,10.216887398174753,7.7048734633964235,8.202421391523478,0.053971438727570265,-0.0321734760273813,-0.019955899309836322,42.0,27.0,7.0,2.1665490110658403e-10,wilcoxon_signed_rank,1087.0,0.47123995227847804,rank_biserial,-0.09979296066252588,median_of_differences,-0.055869437527572785,0.0,0.95,stratum_quantile,q3_most_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|HD95 (mm),"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,0.715411126374468,False,s1_absolute_volume__mm3_5|stratum_quantile|HD95 (mm),3,0.05,,,,,,,
s1_absolute_volume__mm3_5,Mesh integrity,114,,,,,,,,,,,,,,mcnemar_exact,0.0,0.5,paired_rate_difference,0.01754385964912286,paired_rate_difference,0.0,0.043859649122807015,0.95,stratum_quantile,q1_least_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|Mesh integrity,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,0.75,False,s1_absolute_volume__mm3_5|stratum_quantile|Mesh integrity,3,0.05,109.0,111.0,0.956140350877193,0.9736842105263158,2.0,0.0,inf
s1_absolute_volume__mm3_5,Mesh integrity,60,,,,,,,,,,,,,,mcnemar_exact,0.0,1.0,paired_rate_difference,0.0,paired_rate_difference,0.0,0.0,0.95,stratum_quantile,q2_middle,s1_absolute_volume__mm3_5|stratum_quantile|Mesh integrity,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,1.0,False,s1_absolute_volume__mm3_5|stratum_quantile|Mesh integrity,3,0.05,59.0,59.0,0.9833333333333333,0.9833333333333333,0.0,0.0,
s1_absolute_volume__mm3_5,Mesh integrity,76,,,,,,,,,,,,,,mcnemar_exact,0.0,0.25,paired_rate_difference,0.03947368421052633,paired_rate_difference,0.0,0.09210526315789473,0.95,stratum_quantile,q3_most_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|Mesh integrity,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,0.75,False,s1_absolute_volume__mm3_5|stratum_quantile|Mesh integrity,3,0.05,60.0,63.0,0.7894736842105263,0.8289473684210527,3.0,0.0,inf
s1_absolute_volume__mm3_5,Connected components,248,11.165322580645162,10.0,5.87047155965919,7.399193548387097,7.0,3.320577384253604,-3.7661290322580645,-3.0,-3.5,226.0,0.0,22.0,4.862918937087248e-16,wilcoxon_signed_rank,0.0,5.013346948141075e-39,rank_biserial,-1.0,median_of_differences,-4.0,-3.0,0.95,stratum_anatomical,high_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|Connected components,"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,1.002669389628215e-38,True,s1_absolute_volume__mm3_5|stratum_anatomical|Connected components,2,0.05,,,,,,,
s1_absolute_volume__mm3_5,Connected components,2,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,no_variation,,1.0,rank_biserial,0.0,median_of_differences,0.0,0.0,,stratum_anatomical,low_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|Connected components,"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,1.0,False,s1_absolute_volume__mm3_5|stratum_anatomical|Connected components,2,0.05,,,,,,,
s1_absolute_volume__mm3_5,clDice,248,0.8689448372958192,0.8751417314542562,0.05295700459532313,0.8712573012593435,0.8773862116267024,0.05253530959245092,0.0023124639635244072,0.0016151889432210464,0.0019162457101735975,21.0,199.0,28.0,1.3721338300001672e-12,wilcoxon_signed_rank,1450.0,9.788010412633145e-30,rank_biserial,0.8807075277663513,median_of_differences,0.0012479387499587657,0.0020227645482700507,0.95,stratum_anatomical,high_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|clDice,"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,1.957602082526629e-29,True,s1_absolute_volume__mm3_5|stratum_anatomical|clDice,2,0.05,,,,,,,
s1_absolute_volume__mm3_5,clDice,2,0.9411903557331831,0.9411903557331831,0.01597639885421455,0.9411903557331831,0.9411903557331831,0.01597639885421455,0.0,0.0,0.0,0.0,0.0,2.0,,no_variation,,1.0,rank_biserial,0.0,median_of_differences,0.0,0.0,,stratum_anatomical,low_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|clDice,"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,1.0,False,s1_absolute_volume__mm3_5|stratum_anatomical|clDice,2,0.05,,,,,,,
s1_absolute_volume__mm3_5,Dice,248,0.7872559694934089,0.7931839573982263,0.04597122198893331,0.7874439017040253,0.7933979536728348,0.045940425716117686,0.00018793221061629947,0.00012032923273785912,0.00016201700536985775,38.0,188.0,22.0,3.3394503632781615e-09,wilcoxon_signed_rank,3173.0,1.0288157781316828e-22,rank_biserial,0.7526022377295232,median_of_differences,9.569404561093897e-05,0.00017579091984054607,0.95,stratum_anatomical,high_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|Dice,"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,2.0576315562633657e-22,True,s1_absolute_volume__mm3_5|stratum_anatomical|Dice,2,0.05,,,,,,,
